Data Points,Source Organization,NGO Source Organization,Knowledge Commons 
People in Prison 2017 table 2,Bureau of Justice Statistics, Sex Offender Civil Commitment Programs Network ,The Whole Pie
Prisoners in 2016 table 13,Bureau of Prisons,National Immigrant Justice Center,
Jail Inmates in 2016 table 3,Office of Juvenile Justice and Delinquency Prevention,Vera Institute of Justice ,
Survey for Offenses,US Marshals,,
Prisoners in 2016 table 15,"Department of justice, US Marshals",,
Jail Inmates in 2016 appendix table 1,Office of Refugee Resettlement ,,
Jail Inmates in Indian Country appendix table 4,Department of Homeland Security ,,
Prisoners in 2016 table 20,House of representatives,,
Prisoners in 2016 table 18,"National Association of State Mental Health Program Directors 
",,
Prisoners in 2016 table 19,,,
Jail Inmates in Indian Country table 1,,,
Corrections Population table1,,,
Corrections Population table 5,,,
Corrections Population  appendix table 1,,,
Corrections Population  appendix table 3,,,
"Prisoner Count, Jan 2019",,,
"Prisoner Count, 2017",,,
Marshals Fact Sheet 2018,,,
Prisoner Operations Fact Sheet 2018,,,
"US Marshals, FOIO response ",,,
"Juvenile Residential Facility Census Databook (JRFCDB) October 26, 2016",,,
Easy Access to the Census of Juveniles in Residential Placement (EZACJRP),,,
Children in Resettlement Custody,,,
Report of the Subcommittee on Privatized Immigration Detention Facilities,,,
Division-by-Division conference summary p. 2,,,
"NRI report, August 2017 p92,99,104",,,
Annual  Survey 2018,,,
Tara Tidwell Cullen Research,,,
"Survey of Inmates in Local Jails, 2002",,,
Census of Jails 2013,,,
"Profile of Jail Inmates, 2002",,,
